,Year,Month,Delhi,Hyderabad,Mumbai,Bangalore,Kolkata,Chennai,Pune,Kanpur,Surat,Ahmedabad,Mean,Median
0,2014,1,,0.1114369308873954,0.2508928273947813,0.1095401307389022,,0.2711658061116463,0.1440951855093777,,0.1192633855029091,0.1286388452569545,0.16214758734313808,0.1363670153831661
1,2014,2,0.1827938717623664,0.1873452991300724,0.298119611928646,0.1169893077966461,0.112988739690158,0.242158616793461,0.1813884866876961,0.1287642947546571,0.1141794816767665,0.109476954191603,0.16742046644120726,0.16742046644120726
2,2014,3,,0.1299293382866979,0.3175550514304145,0.1152125057232962,0.1576364325642542,0.2684262225994576,0.1436506956782168,0.154752822202042,,0.122956188897096,0.1762649071726844,0.154752822202042
3,2014,4,0.1237024715540313,0.1288910308240076,0.3567860200964638,0.152099350973463,0.1489509629545286,0.2536917162664718,0.1418517830297656,,0.129512524526811,0.1012676487264553,0.17075038988355531,0.1454013729921471
4,2014,5,0.1176992161076396,0.1258360310501571,0.3776837167139289,0.1532286338597804,4.27032349826461,,,0.1389303914928203,0.2246225897387895,0.0865571980665775,0.686860159411788,0.1532286338597804
9,2014,10,0.0898835005331111,0.161188804620057,0.2759381344489884,,0.1288156467669409,,,0.1086401555467563,0.1331506633207938,0.1245409484576701,0.14602255052775967,0.13098315504386737
10,2014,11,0.1215607192494493,0.3609909437140771,0.2642617032861465,0.1280697687921881,0.1239357965026315,,,0.100144567962725,0.104969160029184,0.0871687872618385,0.16138768084978,0.1239357965026315
11,2014,12,0.1211565164086948,0.1203445833427003,0.2538111739825927,,0.1178391596584708,0.1407766468827089,0.3214807761231136,0.1015852801327653,0.109018430319948,0.1121244562260212,0.1553485581196684,0.12075054987569755
12,2015,1,0.0790420440138504,0.1277517348167554,,0.1478838358888889,,0.1804322207673367,0.1800090808499674,,,0.1278608921409085,0.14049663474628457,0.14049663474628457
13,2015,2,0.1298602573606733,0.1248248334779798,0.2814641439287588,0.1637233681487418,0.1369670780963739,0.1932560588722937,0.1578622098541864,0.1517229252837487,0.1380890700051157,0.1386905175840914,0.16164604626119633,0.1517229252837487
14,2015,3,0.0899159620311855,0.1399827762469352,,0.16527252374142,0.1383454599973302,0.1988932760268212,0.1336150656650329,0.1232632967923155,0.1619850786539508,0.1201221206906602,0.1412661733161835,0.1391641181221327
15,2015,4,0.103124391684795,0.0996682339216219,0.30564280642833,0.1035551590260917,,,0.1397791934114625,0.0839128963087283,0.145482056750092,0.1205852791459424,0.13771875208463297,0.1205852791459424
16,2015,5,0.0914542288212195,0.1149310266219042,0.2928110196462262,0.1889944723640686,,,0.1339902795314011,0.0889130979015148,0.1432630496357562,0.0995797226025009,0.14424211214057392,0.1339902795314011
21,2015,10,0.0893896264478088,0.1199143219879692,0.2856228705715247,,0.1464158565816062,,0.1588653648916894,0.1233524397372384,0.2186510512070316,0.1130786292441304,0.15691127008362485,0.1464158565816062
